word,level,pos,definition_url,voice_url
accumulation,C1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accumulation,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accum/accumulation__us_1.ogg
accuracy,B2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accuracy,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accur/accuracy__us_1.ogg
accurate,B2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/accurate,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accur/accurate__us_1.ogg
accurately,B2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/accurately,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accur/accurately__us_1.ogg
accusation,C1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accusation,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accus/accusation__us_1.ogg
accuse,B2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/accuse,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accus/accuse__us_2.ogg
accused,C1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/the-accused,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accus/accused__us_1.ogg
achieve,A2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/achieve,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ach/achie/achieve__us_2.ogg
achievement,B1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/achievement,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ach/achie/achievement__us_1.ogg
acid,C1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/acid_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aci/acid_/acid__us_1.ogg
acid,B2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/acid_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aci/acid_/acid__us_1.ogg
acknowledge,B2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/acknowledge,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ack/ackno/acknowledge__us_1.ogg
acquire,B2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/acquire,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acq/acqui/acquire__us_2.ogg
acquisition,C1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/acquisition,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acq/acqui/acquisition__us_1.ogg
acre,C1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/acre,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acr/acre_/acre__us_1.ogg
across,A1,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/across_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acr/acros/across__us_1.ogg
across,A1,preposition,https://www.oxfordlearnersdictionaries.com/definition/english/across_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acr/acros/across__us_1.ogg
act,B1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/act_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/act__/act__us_2.ogg
act,A2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/act_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/act__/act__us_2.ogg
action,A1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/action_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/actio/action__us_2.ogg
activate,B2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/activate,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/activ/activate__us_1.ogg
activation,C1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/activation,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/activ/activation__us_1.ogg
active,A2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/active_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/activ/active__us_2.ogg
activist,C1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/activist,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/activ/activist__us_1.ogg
activity,A1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/activity,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/activ/activity__us_4.ogg
actor,A1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/actor,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/actor/actor__us_2.ogg
actress,A1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/actress,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/actre/actress__us_2.ogg
actual,B2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/actual,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/actua/actual__us_1_rr.ogg
actually,A2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/actually,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/act/actua/actually__us_1_rr.ogg
acute,C1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/acute,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acu/acute/acute__us_1.ogg
ad,B1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/ad_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ad_/ad__u/ad__us_2.ogg
adapt,B2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/adapt,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ada/adapt/adapt__us_1.ogg
adaptation,C1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/adaptation,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ada/adapt/adaptation__us_1.ogg
add,A1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/add_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/add/add__/add__us_2.ogg
addiction,B2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/addiction,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/add/addic/addiction__us_1.ogg
addition,B1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/addition,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/add/addit/addition__us_2.ogg
additional,B2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/additional,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/add/addit/additional__us_3.ogg
additionally,B2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/additionally,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/add/addit/additionally__us_1.ogg
address,A1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/address_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/add/addre/address__us_2_rr.ogg
address,B2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/address_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/add/addre/address__us_2_rr.ogg
adequate,B2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/adequate,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ade/adequ/adequate__us_1.ogg
adequately,B2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/adequately,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ade/adequ/adequately__us_1.ogg
adhere,C1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/adhere,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adh/adher/adhere__us_1.ogg
adjacent,C1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/adjacent,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adj/adjac/adjacent__us_1.ogg
adjust,B2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/adjust,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adj/adjus/adjust__us_1.ogg
adjustment,C1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/adjustment,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adj/adjus/adjustment__us_1.ogg
administer,C1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/administer,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adm/admin/administer__us_1.ogg
administration,B2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/administration,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adm/admin/administration__us_1.ogg
administrative,C1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/administrative,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adm/admin/administrative__us_1_rr.ogg
administrator,C1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/administrator,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adm/admin/administrator__us_1.ogg
admire,B1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/admire,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adm/admir/admire__us_1.ogg
admission,C1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/admission,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adm/admis/admission__us_1.ogg
admit,B1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/admit,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adm/admit/admit__us_2.ogg
adolescent,C1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/adolescent_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ado/adole/adolescent__us_1.ogg
adopt,B2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/adopt,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ado/adopt/adopt__us_1.ogg
adoption,C1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/adoption,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ado/adopt/adoption__us_1.ogg
adult,A2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/adult_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adu/adult/adult__us_2_rr.ogg
adult,A1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/adult_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adu/adult/adult__us_2_rr.ogg
advance,B2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/advance_3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/advan/advance__us_1.ogg
advance,B2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/advance_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/advan/advance__us_1.ogg
advance,B2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/advance_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/advan/advance__us_1.ogg
advanced,B1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/advanced,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/advan/advanced__us_1.ogg
advantage,A2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/advantage_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/advan/advantage__us_1.ogg
adventure,A2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/adventure,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/adven/adventure__us_3.ogg
adverse,C1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/adverse,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/adver/adverse__us_2_rr.ogg
advertise,A2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/advertise,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/adver/advertise__us_1.ogg
advertisement,A2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/advertisement,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/adver/advertisement__us_2_rr.ogg
advertising,A2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/advertising,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/adver/advertising__us_1.ogg
advice,A1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/advice,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/advic/advice__us_1.ogg
advise,B1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/advise,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/advis/advise__us_1.ogg
advocate,C1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/advocate_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/advoc/advocate__us_2.ogg
advocate,C1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/advocate_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/adv/advoc/advocate__us_1.ogg
aesthetic,C1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/aesthetic_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aes/aesth/aesthetic__us_1_rr.ogg
affair,B2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/affair,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aff/affai/affair__us_2.ogg
affect,A2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/affect,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aff/affec/affect__us_1.ogg
affection,C1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/affection,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aff/affec/affection__us_1.ogg
afford,B1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/afford,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aff/affor/afford__us_1.ogg
affordable,B2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/affordable,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aff/affor/affordable__us_1.ogg
afraid,A1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/afraid,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/afr/afrai/afraid__us_2.ogg
after,A2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/after_3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aft/after/after__us_2.ogg
after,A2,conjunction,https://www.oxfordlearnersdictionaries.com/definition/english/after_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aft/after/after__us_2.ogg
after,A1,preposition,https://www.oxfordlearnersdictionaries.com/definition/english/after_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aft/after/after__us_2.ogg
aftermath,C1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/aftermath,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aft/after/aftermath__us_1.ogg
afternoon,A1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/afternoon,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aft/after/afternoon__us_2.ogg
afterwards,B2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/afterwards,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aft/after/afterwards__us_2.ogg
again,A1,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/again,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aga/again/again__us_1.ogg
against,A2,preposition,https://www.oxfordlearnersdictionaries.com/definition/english/against,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/aga/again/against__us_1.ogg
age,A1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/age_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/age/age__/age__us_1.ogg
age,B1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/age_3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/age/age__/age__us_1.ogg
aged,B1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/aged,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/age/aged_/aged__us_1.ogg
agency,B2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/agency,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/age/agenc/agency__us_2.ogg
agenda,B2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/agenda,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/age/agend/agenda__us_2.ogg
agent,B1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/agent,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/age/agent/agent__us_2.ogg
aggression,C1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/aggression,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/agg/aggre/aggression__us_1.ogg
aggressive,B2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/aggressive,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/agg/aggre/aggressive__us_1.ogg
ago,A1,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/ago,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ago/ago__/ago__us_1.ogg
agree,A1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/agree,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/agr/agree/agree__us_1.ogg
agreement,B1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/agreement,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/agr/agree/agreement__us_1.ogg
agricultural,C1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/agricultural,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/agr/agric/agricultural__us_1.ogg
agriculture,B2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/agriculture,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/agr/agric/agriculture__us_1.ogg
ah,A2,exclamation,https://www.oxfordlearnersdictionaries.com/definition/english/ah_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ah_/ah__u/ah__us_2.ogg
ahead,B1,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/ahead,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/ahe/ahead/ahead__us_1.ogg
